appid,name,price,positive_ratings,negative_ratings,total_ratings
1018170,光之迷城 / Dawn of the Lost Castle,5.19,10,2,12
1018380,怪獣綺譚 朧十夜 空狐万華鏡,14.49,1,0,1
1018420,uuu so smislom,0.79,7,1,8
1018580,Magic Word Alchemist,3.99,2,0,2
1018720,X-POINT,7.42,6,1,7
1018730,Tobit,0.00,3,3,6
1018770,Lizardquest-Alien waters,5.19,0,1,1
1018810,Drumpfy Walls,3.99,3,0,3
1018820,Fleet Scrapper,5.19,3,1,4
1018900,Let's Learn Japanese! Katakana,2.89,2,1,3
1018930,【SCP】器関ノ彷徨 -The will of a single Tale- 第１部,0.00,30,4,34
1018960,Thugs Law,1.69,1,1,2
1018980,VKT Prime System Crash,0.80,3,0,3
1018990,Cherry Creek,3.99,9,0,9
1019020,The Abbey - Director's cut,9.29,2,1,3
1019040,Smash team,0.79,1,2,3
1019060,5.84 Wing,0.79,1,0,1
1019150,Apolune,5.19,1,0,1
1019250,World War II: TCG,0.00,85,28,113
1019260,Micro Mayhem,7.19,1,0,1
1019400,BeatShips,8.99,1,0,1
1019580,Mortadelo y Filemón: Una aventura de cine - Edición especial,9.29,3,2,5
1019630,ECCHI NEKO GIRLS PUZZLE,0.99,16,4,20
1019710,Repel Aliens 3D,3.99,0,1,1
1019920,Gensokyo Defenders / 幻想郷ディフェンダーズ / 幻想鄉守護者,17.99,19,2,21
1019940,Race for Tuning,3.99,42,16,58
1020010,Fantasy Island,0.79,0,1,1
1020020,Dimension Two,3.99,13,1,14
1020090,Overcome,8.29,10,1,11
1020250,Flying in Labyrinth,1.69,4,1,5
1020270,Demon Hunter 5: Ascendance,11.39,8,3,11
1020340,Audica,15.49,132,34,166
1020360,魔杖战争 Wand Wars: Rise,7.19,0,2,2
1020390,Beat Blaster,15.49,6,1,7
1020410,Narco Strike,0.00,6,4,10
1020470,Evoland Legendary Edition,14.99,100,14,114
1020480,Nasty,0.79,2,1,3
1020520,Hellink,0.00,29,1,30
1020590,Space Pilgrim Academy: Reunion,1.69,10,0,10
1020600,Extreme Truck Simulator,1.69,5,1,6
1020610,Apoapsis,2.09,2,2,4
1020640,R.I.C.A,0.00,65,4,69
1020650,Commando Fodder: War Dogs,1.69,7,0,7
1020660,Wrecked Destruction Simulator,7.19,7,5,12
1020820,KumaKuma Manga Editor,4.79,346,41,387
1020830,Something is wrong/有毛病,1.69,17,2,19
1020930,在末日前夕等待放晴,8.29,8,0,8
1020940,Owyn's Adventure,1.69,23,1,24
1020980,Match Three Pirates! Heir to Davy Jones,3.99,1,0,1
1021060,Brix VR,3.99,1,0,1
1021120,PraeBot,0.79,6,3,9
1021130,Trucking,12.39,4,0,4
1021260,Chocolate makes you happy: St.Patrick's Day,0.79,2,6,8
1021640,Fold,2.09,6,0,6
1021670,机退怪兽,8.29,145,27,172
1021680,Music Escape (Beta Edition),7.49,7,2,9
1021690,Game Studio Simulator（我要做游戏）,1.69,133,19,152
1021700,Little Reds Forest Fun,3.99,4,0,4
1021780,The Region,4.79,14,34,48
1021820,Dumb test: Check your teammates,0.77,3,1,4
1021840,Asteroid Hideout,2.09,3,1,4
1021850,Blood Memery,血色记忆,51,0,51
1021860,Unravel Cyndy,1.69,2,0,2
1021950,When the Darkness comes,0.00,2966,301,3267
1022000,Lyantei,6.19,1,1,2
102200,Runespell: Overture,7.99,257,76,333
1022010,Oliver's Adventures in the Fairyland,3.99,18,2,20
1022040,Candy Mandy,0.79,1,1,2
10220,Postal III,8.99,641,1101,1742
1022130,CLASH! - Battle Arena,4.79,2,2,4
1022160,Rollossus,3.99,1,0,1
1022170,VehiCraft,8.29,1,2,3
1022180,And I Must Scream,0.00,4,2,6
1022230,Magic Borderless,1.69,19,3,22
1022270,Cartacombs,1.69,2,0,2
1022280,CosPuzzle: Giu Hellsing,0.79,4,4,8
1022320,Crypto Crisis: Education Edition,6.19,1,0,1
1022370,CupGuess,2.09,5,6,11
1022530,SUBARACITY,3.99,1,1,2
1022550,Neon Infinity,0.79,3,0,3
1022610,Alchemic Dungeons DX,5.79,6,0,6
1022630,Tankorama,5.19,4,0,4
1022640,Lgnorant girl doll,7.19,1,1,2
1022650,LeonWaan MineSweeper,0.79,3,2,5
1022770,Beyond Enemy Lines: Operation Arctic Hawk,3.99,6,4,10
1022780,Animal Fight Club,2.95,38,8,46
1022840,The Adventures of Jason and the Argonauts,3.99,5,0,5
1022870,Luminos,2.09,15,0,15
1022920,Two Clusters: Kain,0.00,2,1,3
1023020,Slime Crunch,0.79,1,0,1
1023060,Yet Another Survival Game,0.79,5,4,9
10230,Dead Mountaineer's Hotel,5.59,25,63,88
1023120,Erotic girls match 3,0.79,2,5,7
1023130,Defection,2.89,1,1,2
1023150,Cyborg Invasion Shooter 3: Savior Of The World,2.09,12,3,15
1023280,Solitaire Bliss Collection,19.49,1,0,1
1023320,Clown Thug Cop Zombies,0.00,37,10,47
1023410,3 GEEKS,9.29,5,1,6
1023510,Matanga,5.79,10,3,13
1023550,Rogue Star Rescue,11.39,7,0,7
1023570,PUZZLE: ANIMALS,0.79,1,1,2
1023690,Nurse Love Syndrome,30.99,17,0,17
1023870,Northern Lights,1.69,11,11,22
1023960,Easter!,0.79,0,5,5
1023980,V.L.A.D.i.K,5.19,60,44,104
102400,Vertex Dispenser,6.99,20,9,29
1024080,The Scuttle,2.89,8,1,9
10240,A Stroke of Fate: Operation Valkyrie,4.99,15,10,25
1024150,Valentines Cafe,0.79,0,2,2
1024220,Death Waves,3.99,2,3,5
1024250,Firon,0.00,1,1,2
1024280,The Cradle of Ruin/毁灭的摇篮/ほろびのゆりかご,2.09,38,0,38
1024330,Bhavacakra Grace,0.00,2,2,4
1024430,Super Arcade Soccer,3.99,9,6,15
1024440,兔耳冒险谭/Usamimi Adventure,10.29,69,4,73
1024450,DINO VR,15.49,0,1,1
1024520,Viking: Sigurd's Adventure,3.99,4,1,5
1024540,Alien League,10.99,3,0,3
1024600,SkydiVeR,3.99,2,8,10
1024670,Ruination,0.79,10,3,13
1024690,Chaos Village,2.09,2,1,3
1024730,Murder Machine Mini,9.29,2,0,2
1024780,Capture the planet: Cute War,0.79,1,2,3
1024790,Kare wa Kanojo,0.00,3,0,3
1024860,BFGE (Bartender Flair Game),15.49,5,0,5
1024970,Quantum Legend - VR Experience,0.00,7,8,15
1025000,Puzzle 101: Edge of Galaxy 宇宙边际,4.79,1,0,1
102500,Kingdoms of Amalur: Reckoning™,19.99,8523,1201,9724
1025010,Cursor - by Mr iLyn.,1.69,1,0,1
1025050,Figure Quest,1.65,115,7,122
1025070,淑女同萌！-New Division- / Hello Lady! -New Division-,11.39,126,1,127
10250,PT Boats: Knights of the Sea,4.99,12,12,24
1025130,Oik Memory 3,0.79,26,2,28
1025200,The Floor Is Really Cheap Lava,0.00,57,12,69
1025240,GLAD VALAKAS TOWER DEFENCE 2,0.79,64,3,67
1025250,Shadow Corridor,5.79,154,33,187
1025260,Rebirth Fantasy Online,0.00,34,17,51
1025270,Nogalious MSX,2.89,2,2,4
1025480,1-Bit Revival: The Residuals of Null,2.89,4,0,4
1025580,Vainglory,0.00,1211,739,1950
1025650,Astrog,11.39,0,3,3
1025710,Real Al's Humanity Academy,0.00,11,1,12
1025740,The Woods: VR Escape the Room,3.99,3,7,10
1025870,MONSTERS:SURVIVAL,19.49,3,3,6
1025920,Manipulator of Figure 3,0.79,20,2,22
1025940,Super Nitrous Zoomer,3.99,0,1,1
1025980,匿名信：失心者 / Strayer,1.69,37,23,60
1025990,Cube Human,0.79,1,1,2
102600,Orcs Must Die!,7.99,5371,180,5551
1026030,Pew Pew Rocket,1.69,10,0,10
1026080,The Antidote,3.99,5,2,7
10260,PT Boats: South Gambit,4.99,5,10,15
1026130,STAB STAB STAB!,5.79,11,3,14
1026210,BAD BILLY 2D VR,1.69,1,1,2
1026230,Be an Archer,1.69,0,1,1
1026250,Fall of castles,1.69,0,1,1
1026260,Simple Chess,0.79,1,0,1
1026270,Zombie Killers,0.79,1,0,1
1026290,Stack Tower,0.79,0,1,1
1026330,2048,0.79,0,1,1
