genre,avg_negative_ratio,game_count
Action;Indie;Racing;Simulation;Sports,30.22,15
Action;Indie;Racing;Simulation;Sports;Early Access,12.16,4
Action;Indie;Racing;Simulation;Sports;Strategy,11.11,1
Action;Indie;Racing;Simulation;Strategy,23.33,1
Action;Indie;Racing;Sports,20.23,20
Action;Indie;Racing;Sports;Early Access,9.88,4
Action;Indie;Racing;Strategy,20.52,3
Action;Indie;Simulation,33.67,116
Action;Indie;Simulation;Early Access,30.02,42
Action;Indie;Simulation;Sports,26.94,22
Action;Indie;Simulation;Sports;Early Access,23.33,14
Action;Indie;Simulation;Sports;Strategy,46.39,4
Action;Indie;Simulation;Strategy,31.27,36
Action;Indie;Simulation;Strategy;Early Access,35.01,15
Action;Indie;Sports,16.64,63
Action;Indie;Sports;Early Access,19.02,16
Action;Indie;Sports;Strategy,42.86,1
Action;Indie;Sports;Strategy;Early Access,17.17,2
Action;Indie;Strategy,29.06,220
Action;Indie;Strategy;Early Access,25.04,47
Action;Massively Multiplayer,47.91,6
